Radius,Mass,SolarMass,Comments
9.2,2.0324759615046535e+28,0.010218582008570403,
9.1,2.083965424307315e+28,0.010477453113661713,m_chi = 2 GeV
9.1,2.1372854809425975e+28,0.01074552780765509,
9.0,2.189868220305772e+28,0.011009895526926957,m_mu = 6 MeV
8.9,2.2428074694634356e+28,0.011276055653410937,
8.9,2.2976397862584927e+28,0.011551733465351897,alpha = 1e-05
8.8,2.3516281481023364e+28,0.0118231681654215,
8.7,2.4060148153464336e+28,0.01209660540646774,
8.7,2.462308362654286e+28,0.012379629777045178,
8.6,2.517616285505067e+28,0.01265769877076454,
8.5,2.5736410596443453e+28,0.012939371843360206,
8.5,2.6311261298910766e+28,0.013228386776727382,
8.4,2.6879319534029455e+28,0.013513986693830795,
8.4,2.7464496559680036e+28,0.013808193343227769,
8.3,2.8042049215026057e+28,0.014098566724497765,
8.3,2.8637426888906257e+28,0.014397901904930243,
8.2,2.9223358971653413e+28,0.014692488170765917,
8.1,2.981640073994367e+28,0.014990648939137086,
8.1,3.0422990823524043e+28,0.015295621329071916,
8.0,3.102597120777698e+28,0.01559877888777123,
8.0,3.164061353632049e+28,0.01590779966632503,
7.9,3.2253460519522017e+28,0.016215917807703376,
7.9,3.287654963030554e+28,0.016529185334492477,
7.8,3.3498513665152454e+28,0.016841887212243566,
7.8,3.4131536629982577e+28,0.01716014913523508,
7.8,3.4770425831266344e+28,0.017481360397821187,
7.7,3.5403947440917844e+28,0.017799873022080363,
7.7,3.604970871462748e+28,0.0181245393235935,
7.6,3.6694360050643247e+28,0.0184486475870504,
7.6,3.734923167842203e+28,0.018777894257627967,
7.5,3.8001593497040633e+28,0.019105879083479452,
7.5,3.8665900334730234e+28,0.019439869449336466,
7.5,3.933365197030225e+28,0.01977559173971958,
7.4,4.000029109363912e+28,0.02011075469765667,
7.4,4.067589806402253e+28,0.020450426377085232,
7.3,4.135088095908078e+28,0.02078978429315273,
7.3,4.203720753655449e+28,0.021134845418076666,
7.3,4.272289059038839e+28,0.02147958300170356,
7.2,4.341421901076627e+28,0.02182715887921884,
7.2,4.411214123170585e+28,0.022178049890249293,
7.1,4.4803079196569625e+28,0.022525429460316552,
7.1,4.551533278841144e+28,0.02288352578602888,
7.1,4.622464277863343e+28,0.023240142171258634,
7.0,4.692896174211343e+28,0.023594249241887095,
7.0,4.765228499307866e+28,0.023957911007078257,
7.0,4.837472268925924e+28,0.024321127546133352,
6.9,4.9092119912450615e+28,0.024681809910734345,
6.9,4.982723330415594e+28,0.02505139934849469,
6.9,5.0561135618112834e+28,0.025420379898498154,
6.8,5.129002945104619e+28,0.025786842358494814,
6.8,5.203888343864946e+28,0.02616334008981873,
6.8,5.2785569152498025e+28,0.02653874768853596,
6.8,5.352902444733596e+28,0.026912531144965286,
6.7,5.428390414891702e+28,0.027292058395634495,
6.7,5.504566064391896e+28,0.027675043058782784,
6.7,5.580380250791952e+28,0.028056210411221475,
6.6,5.6564974369609085e+28,0.028438901141080483,
6.6,5.733986113855984e+28,0.028828487249150245,
6.6,5.811244495732474e+28,0.029216915513989306,
6.5,5.887680624579014e+28,0.029601209776666734,
6.5,5.966730195482125e+28,0.02999864351675276,
6.5,6.045608455805158e+28,0.030395215966843428,
6.5,6.124065454195524e+28,0.030789670458499365,
6.4,6.202466969124999e+28,0.03118384599861739,
6.4,6.282867907894617e+28,0.031588073946177055,
6.4,6.363024916597667e+28,0.031991075498228584,
6.4,6.442894573219661e+28,0.03239263234399025,
6.3,6.523111662223871e+28,0.03279593595889326,
6.3,6.604917718695056e+28,0.03320722834939696,
6.3,6.6866351246076475e+28,0.033618075035734774,
6.3,6.767714587081993e+28,0.03402571436441424,
6.2,6.84935942898662e+28,0.03443619622416601,
6.2,6.9326751009680665e+28,0.034855078436239646,
6.2,7.015871894672311e+28,0.035273362969694876,
6.2,7.098694924597808e+28,0.03568976834890803,
6.1,7.181205711400147e+28,0.03610460387833155,
6.1,7.266145528790862e+28,0.03653165172846084,
6.1,7.350890795683485e+28,0.03695772144637247,
6.1,7.435309576708883e+28,0.037382149706932544,
6.0,7.518249553193361e+28,0.037799143052756966,
6.0,7.604752938606478e+28,0.038234051978916425,
6.0,7.691232248512576e+28,0.03866883986180279,
6.0,7.777296550290789e+28,0.039101541228209094,
6.0,7.863111173875964e+28,0.039532987299527214,
5.9,7.948541198211669e+28,0.03996249973962628,
5.9,8.036697468982792e+28,0.04040571879830463,
5.9,8.124657001603491e+28,0.04084794872601051,
5.9,8.212219916432516e+28,0.04128818459744854,
5.9,8.299265640350978e+28,0.04172582021292598,
5.8,8.386807986471297e+28,0.04216595267205277,
5.8,8.476474650735747e+28,0.04261676546372924,
5.8,8.56605691111996e+28,0.04306715390206113,
5.8,8.65522660732908e+28,0.04351546811125731,
5.8,8.743714660167039e+28,0.04396035525473624,
5.7,8.832787805316339e+28,0.04440818403879506,
5.7,8.924150080964886e+28,0.04486752177458465,
5.7,9.015306439921575e+28,0.04532582423288876,
